"id","iso","country","score","eh","ev","eh_hi","eh_aq","eh_ws","ev_wr","ev_ag","ev_fo","ev_fi","ev_bd","ev_ce","eh_hi_child_mortality","eh_aq_household_air_quality","eh_aq_exposure_pm25","eh_aq_exceedance_pm25","eh_ws_access_to_sanitation","eh_ws_access_to_drinking_water","ev_wr_wastewater_treatment","ev_ag_agricultural_subsidies","ev_ag_pesticide_regulation","ev_fo_change_in_forest_cover","ev_fi_fish_stocks","ev_fi_coastal_shelf_fishing_pressure","ev_bd_terrestrial_protected_areas_national_biome","ev_bd_terrestrial_protected_areas_global_biome","ev_bd_marine_protected_areas","ev_bd_critical_habitat_protection","ev_ce_trend_in_carbon_intensity","ev_ce_change_of_trend_in_carbon_intensity","ev_ce_trend_in_co2_emissions_per_kwh","access_to_electricity","year"
276,"EG","Egypt",61.11,69.47,55.54,66.83,67.99,73.59,49.5,73.01,,23.78,65.26,61.05,66.83,100,65.12,38.85,59.69,87.49,49.5,58.02,88,,5.23,42.34,65.81,37.96,92.01,,25.37,74.42,35.25,100,2012
339,"MY","Malaysia",59.31,87.71,40.37,95.38,90.54,77.21,8.64,57.68,1.68,17.6,93.37,40.24,95.38,100,96.09,75.54,62.49,91.94,8.64,35.35,80,1.68,21.5,13.7,100,100,73.49,100,37.59,49.44,31.68,99,2012
429,"TN","Tunisia",58.99,81.19,44.19,89.95,99.04,54.57,27.77,88,100,14.85,31.08,54.38,89.95,100,100,97.12,45.86,63.29,27.77,100,76,100,2.94,26.76,7.4,18.81,67.02,,66.86,47.71,66.57,100,2012
275,"EC","Ecuador",58.54,73.44,48.62,72.1,98.13,50.07,6.4,96,28.15,37.17,88.09,54.66,72.1,98,100,96.4,53.28,46.86,6.4,100,92,28.15,28.07,46.27,91.85,76.5,100,84,48.8,51.28,61.75,97,2012
264,"CR","Costa Rica",58.53,82.62,42.47,90.39,97.88,59.57,0.9,90,19.87,37.51,89.55,38.46,90.39,94,100,99.64,55.5,63.65,0.9,100,80,19.87,27.08,47.93,94.44,89.28,74.46,100,46.55,34.42,38.81,99,2012
318,"JM","Jamaica",58.26,70.03,50.41,72.5,96.33,41.26,10,96,18.52,0,88.04,76.98,72.5,89,100,100,32.02,50.5,10,100,92,18.52,0,0,81.34,95.67,75.13,100,16.38,90,60.32,92,2012
346,"MU","Mauritius",58.09,86.55,39.11,88.37,100,71.27,5.44,92,100,47.5,43.7,29.91,88.37,100,100,100,47.63,94.9,5.44,,92,100,0.64,94.36,28.32,28.32,18.17,100,24.23,32.39,,100,2012
443,"VE","Venezuela",57.8,72.83,47.79,70.44,99.04,49.01,14.94,94,33.76,18.5,92.92,43.59,70.44,100,100,97.12,48.15,49.87,14.94,100,88,33.76,8.24,28.76,100,100,85.66,86,47.13,19.22,57.04,100,2012
376,"PA","Panama",56.84,68.6,48.99,72.7,94,39.11,20.15,96,14.35,27.75,86.96,52.82,72.7,82,100,100,24,54.22,20.15,,96,14.35,19.49,36.01,92.44,76.52,78.87,100,71.48,32.83,60.36,88,2012
323,"KI","Kiribati",55.82,51.45,58.73,58.45,84.67,11.24,27.06,56,,36.08,100,,58.45,54,100,100,7.65,14.83,27.06,100,12,,5.3,66.87,100,100,100,,,,,56,2012
320,"JO","Jordan",55.78,76.96,41.66,79.31,82.51,69.06,42.3,84,,,8.52,65.68,79.31,100,85.3,62.23,75.94,62.17,42.3,,84,,,,8.52,7.5,,,69.19,65.47,65.75,99,2012
401,"SC","Seychelles",55.56,83.36,37.02,83.98,100,66.09,3.96,48,,51.16,72.42,26.83,83.98,100,100,100,69.52,62.67,3.96,,48,,5.56,96.77,75.01,72.4,42.26,100,22.14,33.06,,29,2012
353,"ME","Montenegro",55.52,78.31,40.33,98.68,76.19,60.08,5.1,86,100,0,51.6,47.4,98.68,72,88.21,68.35,46.34,73.81,5.1,100,72,100,0,0,77.82,77,0,,45.27,51.33,41.59,100,2012
231,"AZ","Azerbaijan",55.47,59.37,52.87,60.57,86.87,30.66,13.15,62,63.12,,58.66,80.88,60.57,93,93.52,74.1,34.08,27.24,13.15,100,24,63.12,,,58.66,68.89,,,90,78.28,83.55,100,2012
267,"CU","Cuba",55.07,80.64,38.02,93.18,97,51.75,9.19,84,100,32.72,56.06,16.93,93.18,91,100,100,50.99,52.52,9.19,,84,100,16.17,49.27,37.17,54.24,82.84,50,0,14.87,23.47,100,2012
348,"MX","Mexico",55.03,69.98,45.06,76.67,87.09,46.2,37.45,55.21,19.87,25.34,62.32,51.35,76.67,86,98.65,76.62,37.49,54.9,37.45,30.41,80,19.87,17.4,33.28,62.93,66.46,82.89,37,60.05,27.12,73.66,99,2012
430,"TR","Turkey",54.91,73.85,42.28,66.06,84.07,71.43,48.93,56.67,52.35,21.9,32.62,46.52,66.06,97,87.95,67.27,48.42,94.44,48.93,17.34,96,52.35,20.78,23.02,13.7,14.34,77.46,25,55.37,40.62,43.4,100,2012
219,"AL","Albania",54.73,72.63,42.8,93.75,68.24,55.91,3.36,60,17.25,0,63.19,85.74,93.75,61,82.56,61.15,56.12,55.69,3.36,100,20,17.25,0,0,58.79,57.06,73.71,,86.45,78.69,99.4,100,2012
419,"SY","Syria",54.5,67.09,46.11,78.81,71.08,51.38,82.17,92,3.3,0,23.44,59.1,78.81,100,71.14,42.09,60.45,42.31,82.17,100,84,3.3,0,0,3.76,3.28,63.28,,35.2,69.32,39.05,93,2012
411,"LK","Sri Lanka",53.88,67.49,44.8,82.82,70.8,48.85,0,92,33.76,62.43,67.7,54.62,82.82,25,100,87.41,48.72,48.99,0,100,84,33.76,50,74.87,85.21,97.14,53.45,35,76.3,49.27,64.84,85,2012
440,"UY","Uruguay",53.61,89.97,29.37,80.39,100,89.51,6.67,68.06,100,20.19,24.62,24.51,80.39,100,100,100,83.18,95.84,6.67,52.12,84,100,19.6,20.79,2.67,2.68,68.49,,18.47,60.86,10.73,99,2012
414,"SR","Suriname",53.57,67.15,44.52,64.28,96,41.16,0.01,90,63.12,17.55,75.04,52.76,64.28,88,100,100,35.23,47.08,0.01,100,80,63.12,1.64,33.45,57.55,83.9,83.67,,82.78,40.15,,100,2012
408,"ZA","South Africa",53.51,59.33,49.64,47.51,94.4,36.08,27.86,79.2,100,2.52,63.96,49.87,47.51,85,100,98.2,26.15,46.01,27.86,70.41,88,100,5.04,0,38.22,42.62,100,75,52.04,56.54,38.54,83,2012
388,"RU","Russia",53.45,74.22,39.6,83.12,94.36,45.17,21.5,16.93,35.07,12.73,53.39,61.02,83.12,100,100,83.09,23.4,66.93,21.5,21.87,12,35.07,17.32,8.14,61.08,64.28,88.21,0,90,26.94,47.77,100,2012
350,"MD","Moldova",53.36,66.88,44.34,76.03,73.63,50.99,34.15,74,100,,7.51,63.16,76.03,89,79.01,52.88,39.43,62.56,34.15,100,48,100,,,7.51,7.14,,,81.55,49.64,90,99,2012
274,"DO","Dominican Republic",53.24,69.12,42.65,78.15,97.55,31.68,5.9,52.69,5.79,37.15,92.94,44.06,78.15,93,100,99.64,34.44,28.92,5.9,9.38,96,5.79,20.67,53.62,75.78,97.03,98.96,100,90,39.28,45.65,98,2012
284,"FJ","Fiji",53.08,70.72,41.33,72.54,87.67,51.94,3.9,94,58.94,38.36,37.98,65.71,72.54,63,100,100,41.08,62.81,3.9,100,88,58.94,9.09,67.62,16.45,18.27,77.21,40,21.24,67.16,,56,2012
245,"BR","Brazil",52.97,72.22,40.13,68.59,97.64,50.44,10.87,74.51,10.81,24.68,66.74,53.82,68.59,94,100,98.92,32.68,68.19,10.87,61.01,88,10.81,20.09,29.28,82.4,73.54,81.04,30,52.02,26.19,79.65,99,2012
423,"TH","Thailand",52.83,71.17,40.61,88.23,67.67,57.62,16,62.13,25.34,19.05,70.19,46.05,88.23,74,76.49,52.52,54.7,60.55,16,32.26,92,25.34,21.88,16.23,76.12,51.63,82.82,,42.41,42.91,52.4,100,2012
428,"TT","Trinidad and Tobago",52.28,71.66,39.36,63.01,99.88,52.08,5.25,96,17.88,24.58,83.48,32.54,63.01,100,100,99.64,51.06,53.09,5.25,,96,17.88,0,49.16,96.18,92.05,45.68,100,26.96,11.34,51.79,99,2012
375,"PW","Palau",51.96,85.17,29.82,76.45,100,79.06,40,12,,50,43.95,1.02,76.45,100,100,100,100,58.12,40,,12,,0,100,65.92,65.92,0,,2.42,0,,56,2012
355,"MA","Morocco",51.89,63.35,44.25,64.96,98.85,26.24,39.39,46.35,100,19.37,31.2,49.4,64.96,98,100,98.56,22.92,29.56,39.39,8.71,84,100,21.13,17.61,20.12,12.44,61.05,,45.9,44.54,59.1,99,2012
233,"BH","Bahrain",51.83,83.22,30.9,81.63,74.63,93.4,64.27,12,,0,4.99,39.57,81.63,95,76.74,52.16,86.81,100,64.27,,12,,0,0,7.48,7.48,0,,32.21,26.74,56.9,94,2012
312,"IR","Iran",51.08,76.12,34.39,64.34,88.81,75.21,2.77,92,84.12,22.41,37.06,36.73,64.34,100,92.68,73.74,92.23,58.19,2.77,100,84,84.12,16.18,28.64,40.3,34.39,73.54,0,28.76,32.13,46.18,98,2012
321,"KZ","Kazakhstan",51.07,75.4,34.85,66.8,95.92,63.48,30.5,37.13,74.82,,14.11,43.49,66.8,91,100,96.76,70.62,56.33,30.5,22.26,52,74.82,,,14.11,19.58,,,29.46,39.81,59.37,100,2012
260,"CO","Colombia",50.77,66.01,40.62,63,95.09,39.92,4.6,52.51,26.24,32.46,80.4,43.49,63,86,100,99.28,29.91,49.94,4.6,13.01,92,26.24,9.5,55.42,89.25,77.22,99.14,56,64.68,36.3,48.1,97,2012
387,"RO","Romania",50.52,61.85,42.96,85.36,68.88,31.32,13.05,72.13,45.05,0,63.51,62.82,85.36,83,75.43,48.2,24.66,37.99,13.05,52.27,92,45.05,0,0,40.13,51.12,99.26,,90,60.61,51.58,100,2012
242,"BO","Bolivia",50.48,53.95,48.17,48.63,88.77,24.46,11.3,64,11.77,,81.04,63.57,48.63,71,100,95.32,10.37,38.56,11.3,100,28,11.77,,,95.73,91.7,,43,0,90,11.28,80,2012
238,"BZ","Belize",50.46,79.76,30.93,80.78,96,62.49,2.28,92,4.69,0,98.58,2.59,80.78,88,100,100,46,78.99,2.28,100,84,4.69,0,0,99.93,99.67,96.15,,83.28,0,,88,2012
336,"MK","Macedonia",50.41,78.26,31.84,100,64.26,70.51,3.74,94,25.34,,27.54,54.41,100,67,76.87,48.92,49.19,91.82,3.74,100,88,25.34,,,27.54,46.85,,,90,53.19,53.4,99,2012
365,"NI","Nicaragua",50.32,59.9,43.93,74.66,81.88,23.16,8.4,88,0,28.11,91.67,46.82,74.66,46,100,99.64,12.86,33.46,8.4,100,76,0,21.57,34.66,91.1,91.91,92.01,,51.87,37.24,65.96,74,2012
328,"LB","Lebanon",50.15,85.94,26.29,91.77,77.34,88.69,15.08,90,74.82,0,1.71,40.43,91.77,100,78.43,53.6,77.38,100,15.08,100,80,74.82,0,0,2.56,2.56,0,,68.34,12.17,56.53,100,2012
220,"DZ","Algeria",50.08,70.51,36.45,66.12,99.28,46.13,34.64,94,26.24,23.71,34.86,37.53,66.12,100,100,97.84,60.39,31.87,34.64,100,88,26.24,12.62,34.8,37.12,19.43,48.04,,26.2,28.62,55.48,99,2012
226,"AR","Argentina",49.55,86.8,24.72,85.07,99.64,75.7,11.75,96,0,15.68,44.88,16.79,85.07,100,100,98.92,65.27,86.12,11.75,100,92,0,17.74,13.61,29.1,35.9,64.53,50,13.6,22.06,11.47,88,2012
449,"ZW","Zimbabwe",49.54,46.42,51.62,43.76,78,17.5,14.03,56,23.64,,99.52,,43.76,34,100,100,8.02,26.99,14.03,100,12,23.64,,,99.74,98.96,,100,,,,37,2012
435,"UA","Ukraine",49.01,77.71,29.87,83.06,84.76,65.31,14.7,62.03,32.52,25.3,41.46,27.78,83.06,97,88.93,68.35,57.32,73.31,14.7,56.06,68,32.52,8.11,42.48,20.17,22.39,81.82,,90,17.52,45.9,100,2012
225,"AG","Antigua and Barbuda",48.89,81.6,27.08,83.79,100,61.01,11.37,84,,0,60.92,8.41,83.79,100,100,100,49.41,72.62,11.37,,84,,0,0,38,60.64,45.05,100,13.11,0,,88,2012
306,"HN","Honduras",48.87,57.52,43.11,53.31,82.88,36.38,15.54,92,6.17,27.29,76.81,48.29,53.31,49,100,99.64,32.46,40.29,15.54,100,84,6.17,5.41,49.17,82.16,79.69,65.41,80,43.61,50.93,43.04,81,2012
300,"GT","Guatemala",48.06,60.55,39.74,58.89,80.4,42.37,5.37,94,0,32.6,57.55,64.18,58.89,43,100,98.2,32.06,52.67,5.37,100,88,0,21.43,43.78,80.11,53.82,76.26,20,60,56.98,78.52,82,2012
373,"OM","Oman",47.75,81.08,25.52,88.83,96.89,57.52,13.4,24,,24.39,42.28,21.64,88.83,95,100,95.68,66.98,48.06,13.4,,24,,11.16,37.63,61.74,53.99,53.4,0,0,67.9,49.9,94,2012
244,"BW","Botswana",47.6,62.04,37.98,56.09,87.67,42.36,0.95,20,,,100,16.57,56.09,63,100,100,19.15,65.57,0.95,,20,,,,100,100,,,61.98,11.37,6.12,43,2012
291,"GE","Georgia",47.23,73.12,29.97,79.42,75.53,64.39,0,56,84.12,0,29.59,45.43,79.42,54,95.62,76.98,54.67,74.11,0,100,12,84.12,0,0,44.53,44.24,0,,40.32,42.22,51.9,100,2012
273,"DM","Dominica",47.08,72.51,30.12,73.9,99.67,43.98,2.99,56,,0,66.29,27.95,73.9,99,100,100,33.04,54.92,2.99,100,12,,0,0,80.06,85.12,0,100,44.51,25.36,,91,2012
241,"BT","Bhutan",46.86,42.07,50.06,42.35,44.86,38.98,0,50,63.12,,94.92,,42.35,60,50.48,24.1,9.92,68.04,0,100,0,63.12,,,94.92,96.13,,,,,,72,2012
289,"GA","Gabon",46.6,50.09,44.28,37.41,90.97,21.88,0,12,58.94,28.8,82.94,56.67,37.41,74,100,98.92,5.46,38.3,0,,12,58.94,26.4,31.2,86.49,84.84,77.49,,90,79.52,1.77,82,2012
232,"BS","Bahamas",46.58,73.83,28.42,71.19,98.33,51.95,11.37,12,21.31,39.68,75.53,0,71.19,95,100,100,42.49,61.41,11.37,,12,21.31,13.33,66.04,79.55,81.77,65.26,,0,0,,88,2012
442,"VU","Vanuatu",45.88,57.12,38.39,69.57,72,29.8,27.06,56,74.82,48.81,27.46,,69.57,16,100,100,15.67,43.93,27.06,100,12,74.82,2.99,94.63,24.34,24.34,33.72,,,,,24,2012
243,"BA","Bosnia and Herzegovina",45.79,77.57,24.61,91.03,69.53,72.15,3.18,56,100,,2.5,31.71,91.03,55,87.39,66.19,63.05,81.25,3.18,100,12,100,,,2.5,2.5,,,34.14,17.86,57.95,100,2012
235,"BB","Barbados",45.5,87.58,17.45,89.63,100,73.12,11.37,84,,50,2.28,12.38,89.63,100,100,100,49.79,96.44,11.37,,84,,0,100,0.54,0.54,8.03,0,11,14.85,,88,2012
431,"TM","Turkmenistan",45.07,66.12,31.04,48.37,98.2,51.78,9.8,50,,,17.86,61.67,48.37,100,100,94.6,85.14,18.42,9.8,100,0,,,,17.86,21.94,,,79.84,69.25,44.76,100,2012
379,"PE","Peru",45.05,55.85,37.84,54.81,83.68,29.07,20.98,92,32.52,29.77,70.36,16.71,54.81,64,100,87.05,24.24,33.91,20.98,100,84,32.52,23.51,36.03,81.34,70.39,71.7,58,41.91,23.2,0,85,2012
352,"MN","Mongolia",44.67,55.12,37.7,65.75,76,23.61,19.8,88,0,,73.25,25.06,65.75,28,100,100,13.3,33.91,19.8,100,76,0,,,69.27,59.41,,100,69.66,9.81,54.19,86,2012
311,"ID","Indonesia",44.36,55.72,36.78,67.55,75.31,24.29,0.02,51.85,7.75,25.8,78.08,45.25,67.55,45,100,80.94,16.12,32.45,0.02,19.7,84,7.75,25.98,25.62,82.26,87.1,88.95,54,53.88,42.98,49.45,94,2012
254,"CV","Cape Verde",44.07,65.4,29.85,77.56,89.33,29.29,19.4,92,,43.26,7.32,45.04,77.56,68,100,100,18.7,39.88,19.4,100,84,,20.45,66.07,14.64,14.64,0,0,40.29,45.15,,67,2012
380,"PH","Philippines",44.02,60.61,32.95,62.94,81.53,37.35,0.53,45.38,31.35,23.18,64.67,35.73,62.94,50,100,94.6,26.31,48.38,0.53,18.75,72,31.35,19.81,26.54,63.89,76.24,78.56,40,78.85,30.28,46.15,83,2012
277,"SV","El Salvador",43.79,65.62,29.23,71.88,92.55,32.43,0.62,84,9.9,31.98,24.53,58.24,71.88,78,100,99.64,23.07,41.79,0.62,100,68,9.9,21.05,42.91,5.56,3.98,64.03,,50.76,44.52,85.44,92,2012
358,"NA","Namibia",43.71,55.53,35.82,56.53,81.67,28.4,13,56,,24.59,94.39,0.54,56.53,45,100,100,5.28,51.53,13,100,12,,16.03,33.15,100,100,83.16,,9.29,0,0,44,2012
441,"UZ","Uzbekistan",43.23,67.68,26.92,55.07,79.37,68.59,0,50,55.41,,12.87,51.9,55.07,89,85.45,63.67,100,37.18,0,100,0,55.41,,,12.87,23.24,,,90,51.49,52.61,100,2012
259,"CN","China",43,42.73,43.19,76.23,18.81,33.15,18.18,33.85,25.34,14.68,66.63,65.16,76.23,54,2.44,0,19.78,46.51,18.18,15.71,52,25.34,20.16,9.21,64.33,80.41,67.76,54,39.29,75,51.83,100,2012
256,"CF","Central African Republic",42.94,31.08,50.85,15.89,66.68,10.66,0,90,43.06,,97,,15.89,4,100,96.04,5.76,15.56,0,100,80,43.06,,,97,97.02,,,,,,9,2012
331,"LY","Libya",42.72,72,23.2,81.63,97.12,37.24,18.08,12,,38.84,0.89,46.61,81.63,100,100,91.37,66.59,7.88,18.08,,12,,18.18,59.49,0.63,2.03,0,,59.07,8.59,60.08,100,2012
448,"ZM","Zambia",41.72,36.18,45.41,26.17,71.25,11.12,4.2,42.83,13.28,,100,,26.17,17,100,96.76,8.71,13.52,4.2,13.66,72,13.28,,,100,100,,,,,,19,2012
377,"PG","Papua New Guinea",41.09,40.97,41.17,46.1,75.43,1.38,0,56,45.05,49.51,25.68,89.98,46.1,27,100,99.28,1.22,1.53,0,100,12,45.05,20.45,78.57,14.23,12.52,61.97,14,78.61,90,,15,2012
278,"GQ","Equatorial Guinea",41.06,38.85,42.54,17.28,74.09,25.18,1.25,0,37.94,49.67,91.32,,17.28,23,100,99.28,44.18,6.18,1.25,,0,37.94,17.07,82.26,100,100,65.29,100,,,,29,2012
399,"SN","Senegal",40.83,44.84,38.16,35.02,83,16.49,2.06,17.45,,20.78,85.36,,35.02,49,100,100,12.55,20.43,2.06,22.9,12,,20,21.56,99.49,79.36,77.21,,,,,57,2012
325,"KG","Kyrgyzstan",40.63,63.46,25.41,56.77,86.51,47.11,4.2,94,68.23,,15.77,,56.77,66,100,93.53,54.32,39.89,4.2,100,88,68.23,,,20.21,21.83,,0,,,,100,2012
249,"BF","Burkina Faso",40.52,32.17,46.08,13.18,69.33,14.01,0.02,88,,,83.75,,13.18,8,100,100,1.04,26.98,0.02,100,76,,,,83.75,83.75,,,,,,13,2012
326,"LA","Laos",40.37,34.49,44.29,56.74,29.23,17.5,0,80,13.28,,93.85,,56.74,4,53.47,30.22,17.67,17.34,0,100,60,13.28,,,93.85,96.92,,,,,,66,2012
338,"MW","Malawi",40.06,39.34,40.54,28.05,67.55,22.44,0,88,0,,87.81,,28.05,3,100,99.64,13.24,31.64,0,100,76,0,,,94.62,72.89,,100,,,,9,2012
265,"CI","Cote d'Ivoire",39.72,39.08,40.15,28.6,73.88,14.77,0.6,80,0,33.68,81.23,49.3,28.6,22,100,99.64,2.69,26.85,0.6,100,60,0,13.72,53.64,100,100,57.94,67,48.32,53.16,41.59,59,2012
262,"CG","Congo",39.44,37.22,40.91,27.54,73.85,10.27,0.18,92,47.23,0,66.29,59.88,27.54,23,100,98.56,0.97,19.58,0.18,,92,47.23,0,0,55,55.34,88.53,,55.48,90,0.01,37,2012
281,"ET","Ethiopia",39.43,35.21,42.24,35.24,66.85,3.53,0,60,35.07,,83.78,,35.24,2,100,98.56,1.78,5.29,0,100,20,35.07,,,93.15,82.94,,71,,,,23,2012
424,"TL","Timor-Leste",39.41,44.92,35.74,53.2,69.33,12.22,0.3,50,31.35,59.87,60.43,,53.2,8,100,100,7.46,16.98,0.3,100,0,31.35,20.81,98.92,50.89,50.89,79.51,,,,,38,2012
378,"PY","Paraguay",39.25,59.03,26.07,63.67,83.67,29.76,0.16,92,0,,31.2,44.09,63.67,51,100,100,23.69,35.83,0.16,100,84,0,,,31.2,31.46,,,46.91,16.3,98.84,97,2012
367,"NG","Nigeria",39.2,34.05,42.63,21.29,72.7,8.17,1.08,92,29.16,28.24,57.54,70.55,21.29,26,100,92.09,4.72,11.61,1.08,100,84,29.16,33.33,23.14,75.96,58.22,45.96,50,90,90,31.66,48,2012
434,"UG","Uganda",39.18,37.26,40.46,31.05,66.8,13.93,0.56,58,4.34,,91.31,,31.05,4,100,96.4,6.17,21.69,0.56,100,16,4.34,,,88.24,88.6,,100,,,,15,2012
444,"VN","Viet Nam",38.17,52.43,28.66,62.83,51.32,43.15,0.14,58.25,17.25,20.11,43.39,44.51,62.83,44,63.92,46.04,26.83,59.47,0.14,28.5,88,17.25,14.45,25.77,36.46,21.17,72.93,43,3.03,46.08,41.43,96,2012
303,"GY","Guyana",38.07,69.19,17.32,64.24,97.55,45.78,0,92,63.12,15.79,18.66,0.64,64.24,93,100,99.64,36.37,55.19,0,100,84,63.12,1.16,30.41,29.98,26,0,,42.62,0,,78,2012
416,"SZ","Swaziland",37.35,43.48,33.27,31.43,81.67,17.34,55.5,58,52.35,,17.69,14.04,31.43,45,100,100,15.23,19.45,55.5,100,16,52.35,,,17.69,17.41,,,68.53,13.59,,35,2012
360,"NP","Nepal",37,31.67,40.55,56.79,16.23,22,0,92,63.12,,61.79,,56.79,18,30.69,0,6.31,37.7,0,100,84,63.12,,,61.79,42.63,,,,,,76,2012
322,"KE","Kenya",36.99,38.37,36.07,33.86,73.33,7.92,0.52,92,15.46,37.87,67.96,,33.86,20,100,100,4.33,11.51,0.52,100,84,15.46,6.86,68.87,77.58,69.76,74.51,50,,,,23,2012
252,"CM","Cameroon",36.68,37.63,36.06,22.91,73.8,16.17,0,96,43.06,0,45.67,62.13,22.91,25,100,96.4,11,21.34,0,100,92,43.06,0,0,55.56,65.11,0,62,41.76,63.79,58.84,49,2012
366,"NE","Niger",36.28,27.42,42.19,11.94,67.4,2.93,0,78,,,77.21,,11.94,4,100,98.2,0,5.86,0,100,56,,,,77.21,69.83,,,,,,9,2012
422,"TZ","Tanzania",36.19,35.89,36.39,35.69,68.31,3.68,0.42,65.87,14.9,26.2,79.12,,35.69,6,100,98.92,0,7.36,0.42,43.74,88,14.9,0,52.41,99.86,99.72,81.91,35,,,,15,2012
302,"GW","Guinea-Bissau",35.98,30.68,39.52,14.52,67.33,10.19,0,56,13.81,29.9,89.87,,14.52,2,100,100,1.32,19.06,0,100,12,13.81,17.61,42.19,89.87,99.36,,,,,,57,2012
251,"KH","Cambodia",35.44,42.73,30.58,52.86,64.82,10.52,0,64,0,0,78.93,,52.86,11,100,83.45,5.52,15.52,0,100,28,0,0,0,100,100,36.78,,,,,31,2012
389,"RW","Rwanda",35.41,38.7,33.21,35.65,63.26,17.2,0,60,45.05,,56.32,,35.65,2,100,87.77,17.54,16.86,0,100,20,45.05,,,56.32,59.76,,,,,,11,2012
297,"GD","Grenada",35.24,75.92,8.12,75.84,100,51.93,11.37,50,,0,3.74,4.14,75.84,100,100,100,49.81,54.04,11.37,100,0,,0,0,11.18,3.77,0,0,22.86,0,,88,2012
374,"PK","Pakistan",34.58,38.78,31.79,64.97,23.02,28.34,3.52,74,43.06,14.61,41.43,44.33,64.97,36,33.06,0,10.85,45.84,3.52,100,48,43.06,4.37,24.85,58.4,51.11,56.2,0,38.83,43.56,45.87,91,2012
313,"IQ","Iraq",33.39,58.01,16.98,71.73,67.42,34.87,8.29,50,,,0,36.03,71.73,100,68.09,34.17,36.4,33.34,8.29,100,0,,,,0,0,,,14.6,37.84,37.02,98,2012
239,"BJ","Benin",32.42,34.49,31.04,24.65,67.39,11.44,0.01,74.05,,0,65.88,,24.65,9,100,93.17,0.02,22.85,0.01,80.1,68,,0,0,98.86,98.79,0,,,,,28,2012
293,"GH","Ghana",32.07,40.31,26.58,33.45,69.72,17.77,10.25,92,10.81,29.46,34.26,27.3,33.45,16,100,93.17,0,35.54,10.25,100,84,10.81,24.44,34.47,78.03,59.02,0,0,70.71,36.71,8.41,61,2012
406,"SB","Solomon Islands",31.63,46.75,21.56,55.12,70,15.13,0,56,35.07,54.67,17.58,,55.12,10,100,100,4.08,26.18,0,100,12,35.07,9.57,99.77,8.45,8.45,53.41,0,,,,19,2012
261,"KM","Comoros",31.39,47.4,20.72,34.1,76.33,31.77,3.96,58,68.23,48.26,0,,34.1,29,100,100,6.3,57.25,3.96,100,16,68.23,0,96.52,0,0,0,0,,,,48,2012
421,"TJ","Tajikistan",31.34,49.89,18.97,43.73,69.19,36.74,2.25,76,,,24.28,,43.73,66,82.94,58.63,58.79,14.69,2.25,100,52,,,,24.28,33.94,,,,,,100,2012
310,"IN","India",31.23,33.19,29.92,50.04,23.24,26.28,10.49,58.4,35.07,22.64,39.18,35.24,50.04,42,27.72,0,6.2,46.36,10.49,24.79,92,35.07,27.14,18.14,27.61,36.33,60.79,32,51.47,26.89,51.91,75,2012
257,"TD","Chad",31.02,29.57,31.99,15.25,70.55,2.91,0,75.14,,,55.34,,15.25,12,100,99.64,0,5.81,0,78.28,72,,,,55.34,51.22,,,,,,4,2012
447,"YE","Yemen",30.16,43.77,21.09,38.98,81.65,10.69,0.49,92,,30.85,23.59,,38.98,67,97.74,80.22,13.3,8.08,0.49,100,84,,25.29,36.41,3.29,3.29,64.21,,,,,45,2012
356,"MZ","Mozambique",29.97,31.49,28.96,23.25,68.33,2.88,2.5,50.7,3.99,23.67,63.17,,23.25,5,100,100,1.32,4.45,2.5,17.4,84,3.99,3.31,44.02,90.84,95.44,66.38,0,,,,15,2012
290,"GM","Gambia",29.3,41.03,21.48,22.16,69.67,31.26,0.4,92,,0,37.05,,22.16,9,100,100,21.47,41.04,0.4,100,84,,0,0,23.96,34.64,52.56,,,,,31,2012
223,"AO","Angola",28.69,35.44,24.19,15.29,79.27,11.76,0,56,26.24,22.95,41.7,,15.29,45,100,92.81,16.12,7.4,0,100,12,26.24,18.56,27.34,65.54,62.37,38.89,0,,,,35,2012
272,"DJ","Djibouti",28.52,52.69,12.4,31.57,93.39,33.11,0,84,,0,15.45,,31.57,87,100,93.17,17.56,48.67,0,,84,,0,0,0.01,0.01,61.78,0,,,,50,2012
301,"GN","Guinea",28.03,32.2,25.25,18.03,67.67,10.91,0.75,94,17.25,20.73,41,,18.03,3,100,100,1.16,20.65,0.75,100,88,17.25,11.18,30.28,39.78,24.24,0,100,,,,20,2012
425,"TG","Togo",27.91,32.82,24.63,26.06,67.23,5.18,0,92,28.15,0,44.23,,26.06,6,100,95.68,0,10.37,0,100,84,28.15,0,0,66.28,66.41,0,,,,,28,2012
357,"MM","Myanmar",27.44,41.39,18.14,45.8,47.68,30.69,0,80,24.47,0,28.62,,45.8,8,78.56,56.47,29.11,32.27,0,100,60,24.47,0,0,36.02,25.86,52.61,0,,,,49,2012
345,"MR","Mauritania",27.19,37.3,20.44,26.73,80.67,4.52,0,56,,23.31,32.63,,26.73,42,100,100,3.48,5.55,0,100,12,,15.76,30.86,3.16,2.54,92.2,,,,,18,2012
337,"MG","Madagascar",26.7,37.2,19.71,41.84,67.33,2.43,0.53,92,7.75,0,37.08,,41.84,2,100,100,0,4.86,0.53,100,84,7.75,0,0,18.6,18.07,68.66,43,,,,14,2012
