"id","iso","country","score","eh","ev","eh_hi","eh_aq","eh_ws","ev_wr","ev_ag","ev_fo","ev_fi","ev_bd","ev_ce","eh_hi_child_mortality","eh_aq_household_air_quality","eh_aq_exposure_pm25","eh_aq_exceedance_pm25","eh_ws_access_to_sanitation","eh_ws_access_to_drinking_water","ev_wr_wastewater_treatment","ev_ag_agricultural_subsidies","ev_ag_pesticide_regulation","ev_fo_change_in_forest_cover","ev_fi_fish_stocks","ev_fi_coastal_shelf_fishing_pressure","ev_bd_terrestrial_protected_areas_national_biome","ev_bd_terrestrial_protected_areas_global_biome","ev_bd_marine_protected_areas","ev_bd_critical_habitat_protection","ev_ce_trend_in_carbon_intensity","ev_ce_change_of_trend_in_carbon_intensity","ev_ce_trend_in_co2_emissions_per_kwh","access_to_electricity","year"
24,"CA","Canada",73.14,97.92,56.61,100,97.85,95.9,80.42,62.52,16.64,21.54,58.4,59.85,100,95,100,98.56,96.04,95.76,80.42,29.04,96,16.64,14.22,28.87,49.33,58.01,76.28,50,53.78,29.2,72.18,100,2014
25,"AE","United Arab Emirates",72.91,88.33,62.64,96.09,86.47,82.41,67.06,92,0,24.25,96.47,33.86,96.09,100,90.35,69.06,72.13,92.7,67.06,0,92,0,9.25,39.24,94.8,94.61,100,0,16.44,0,69.12,94,2014
26,"JP","Japan",72.35,94.66,57.48,99.2,84.79,100,71.26,46.48,55.41,25.34,73.53,43.54,99.2,95,90.3,69.06,100,100,71.26,0.96,92,55.41,25.32,25.37,87.8,90.78,72.56,43,43.59,34.45,43.51,100,2014
27,"FR","France",71.05,96.48,54.09,100,89.44,100,83.8,65.55,37.94,0,54.45,49.83,100,95,95.97,77.34,100,100,83.8,39.09,92,37.94,0,0,80.81,86.62,50.38,0,55.72,43.07,38.23,100,2014
28,"HU","Hungary",70.28,88.98,57.81,96.71,70.24,99.99,58.62,65.34,100,0,29.57,66.87,96.71,95,72.21,43.53,99.99,100,58.62,38.68,92,100,0,0,29.57,29.57,0,0,75.68,44.03,73.08,100,2014
29,"CL","Chile",69.93,89.42,56.94,91.71,96.8,79.74,68.85,67.39,100,23.35,60.16,35.92,91.71,94,100,96.4,81.52,77.95,68.85,42.78,92,100,21.19,25.52,60.64,47.39,92.62,40,53.08,32.93,12.23,100,2014
30,"PL","Poland",69.53,76.25,65.05,98.71,70.74,59.31,60.73,64.98,58.94,26.52,91.76,60.53,98.71,95,71.89,45.32,44.95,73.66,60.73,33.95,96,58.94,16.67,36.38,100,100,75.28,0,77.14,46.79,48.99,100,2014
31,"RS","Serbia",69.13,76.71,64.08,84.77,67.17,78.19,8.79,96,100,0,99.78,62.92,84.77,68,79.18,54.32,70.24,86.13,8.79,100,92,100,0,0,99.78,99.12,0,0,76.57,55.3,75.2,100,2014
32,"BY","Belarus",67.69,81,58.82,88.14,81.21,73.66,86.45,68,68.23,0,41.25,43.15,88.14,100,83.56,60.07,53.4,93.92,86.45,100,36,68.23,0,0,41.25,41.25,0,0,90,36.27,41.89,100,2014
33,"US","United States of America",67.52,92.74,50.71,95.33,96.41,86.48,63.66,61.53,14.35,3.34,63.35,56.45,95.33,95,100,94.24,92.27,80.68,63.66,43.05,80,14.35,1.39,5.28,49.58,59.81,100,44,54.67,29.84,60.18,100,2014
34,"MT","Malta",67.42,94.7,49.23,85.76,98.33,100,37.01,19.66,0,0,80.96,55.32,85.76,95,100,100,100,100,37.01,35.31,4,0,0,0,100,100,42.88,0,52.53,60.01,59.41,100,2014
35,"SA","Saudi Arabia",66.66,87.54,52.73,94.68,84.45,83.48,28.54,92,0,6.43,93.7,46.63,94.68,95,89.3,69.06,100,66.97,28.54,0,92,0,12.87,0,100,100,81.1,0,45.83,44.12,48.49,94,2014
36,"BE","Belgium",66.61,89.82,51.14,99.65,69.79,100,60,65.33,23.64,0,57.56,64.47,99.65,95,72.29,42.09,100,100,60,38.67,92,23.64,0,0,86.34,86.34,0,0,61.8,35.28,70.09,100,2014
37,"BN","Brunei Darussalam",66.49,89.51,51.14,100,94.62,73.93,37.84,68,36.46,42.06,100,21.73,100,95,100,88.85,47.85,100,37.84,0,68,36.46,11.5,72.62,100,100,0,0,0,16,64.57,73,2014
38,"CY","Cyprus",66.23,95.23,46.9,100,85.68,100,9.44,61.34,35.07,32.32,77.03,61.92,100,95,93.69,68.35,100,100,9.44,34.68,88,35.07,20.85,43.79,100,100,31.08,0,64.92,46.81,57.34,100,2014
39,"IL","Israel",65.78,92.57,47.93,98.13,79.57,100,88.4,14.66,0,0,39.34,41.86,98.13,95,82.56,61.15,100,100,88.4,25.32,4,0,0,0,71.89,40.47,45.01,0,31.85,38.6,61.48,100,2014
40,"LV","Latvia",64.05,80.52,53.07,91.58,96.29,53.69,49.62,64.57,3.3,0,95.17,53.27,91.58,95,100,93.88,30.33,77.05,49.62,37.15,92,3.3,0,0,100,100,85.5,0,66.42,0,62.58,100,2014
41,"BG","Bulgaria",64.01,86.57,48.97,87.46,77.23,95.02,28.86,81.62,84.12,0,68.85,48.18,87.46,93,81.13,57.55,100,90.05,28.86,71.24,92,84.12,0,0,100,100,6.55,0,90,45.22,39.47,100,2014
42,"KW","Kuwait",63.94,77.98,54.59,80.72,61.54,91.69,43,92,0,0,92.88,42.23,80.72,95,60.47,29.14,100,83.38,43,0,92,0,0,0,100,100,78.63,0,40.39,0,46.4,94,2014
43,"KR","South Korea",63.79,81.7,51.86,96.93,62.24,85.92,83.68,46.98,33.76,22.24,50.4,41.55,96.93,100,57.23,29.5,100,71.85,83.68,1.97,92,33.76,23.94,20.54,36.3,36.3,78.58,0,43.55,11.91,41.53,93,2014
44,"QA","Qatar",63.03,89.11,45.64,90.52,76.81,100,67.32,88,0,0,8.47,70.93,90.52,100,76.83,53.6,100,100,67.32,0,88,0,0,0,12.7,12.7,0,0,61.38,79.08,90,94,2014
